a,##
leopard,lEp@d
leotard,li5t#d
leper,lEp@
leprechaun,lEpr@k$n
lesbian,lEzb7n
lesion,liZ@n
less,lEs
lesson,lEs@n
lest,lEst
let,lEt
lethal,liT@l
lethargy,lET@_I
letter,lEt@
lettuce,lEtIs
leucocyte,luk5s2t
leukaemia,lukim7
levant,lIv{nt
levee,lEvI
level,lEv@l
lever,liv@
leveret,lEv@rIt
leviathan,lIv2@T@n
levitate,lEvIt1t
levity,lEv@tI
levodopa,liv5d5p@
levy,lEvI
lewd,ljud
lexicon,lEksIk@n
lexis,lEksIs
ley,l1
liable,l2@b@l
liaise,lI1z
liaison,lI1z@n
liana,lI#n@
liane,lI#n
libation,l2b1S@n
libel,l2b@l
liberal,lIb@r@l
liberate,lIb@r1t
liberty,lIb@tI
libidinous,lIbIdIn@s
libido,lIbid5
library,l2br@rI
license,l2s@ns
lichen,l2k@n
licit,lIsIt
lick,lIk
lid,lId
lido,lid5
lie,l2
lief,lif
liege,li_
lien,l7n
life,l2f
lift,lIft
ligate,l2g1t
light,l2t
ligneous,lIgn7s
lignite,lIgn2t
like,l2k
lilac,l2l@k
lilt,lIlt
lily,lIlI
limb,lIm
limber,lImb@
limbo,lImb5
lime,l2m
limerick,lIm@rIk
limit,lImIt
limn,lIm
limp,lImp
limpet,lImpIt
limpid,lImpId
linctus,lINkt@s
linden,lInd@n
line,l2n
lineament,lIn7m@nt
linen,lInIn
ling,lIN
lingam,lINg@m
linger,lINg@
lingo,lINg5
lingual,lINgw@l
linguist,lINgwIst
liniment,lInIm@nt
link,lINk
linnet,lInIt
lino,l2n5
linoleum,lIn5lj@m
lint,lInt
lintel,lInt@l
lion,l2@n
lip,lIp
lipid,lIpId
liquesce,lIkwEs
liqueur,lIkj9
liquid,lIkwId
liquor,lIk@
liquorice,lIk@rIs
lira,l7r@
lisle,l2l
lisp,lIsp
list,lIst
listen,lIs@n
litany,lIt@nI
literal,lIt@r@l
literary,lIt@r@rI
literate,lIt@r@t
literati,lIt@r#ti
lithe,l2D
lithium,lIT7m
litigate,lItIg1t
litmus,lItm@s
litotes,l2t5tiz
litre,lit@
litter,lIt@
litterateur,lItr@t3
little,lIt@l
littoral,lIt@r@l
liturgy,lIt@_I
live,l2v
liver,lIv@
livery,lIv@rI
livid,lIvId
lizard,lIz@d
llama,l#m@
load,l5d
loaf,l5f
loam,l5m
loan,l5n
loath,l5T
lob,lQb
lobby,lQbI
lobe,l5b
lobster,lQbst@
local,l5k@l
locale,l5k#l
locate,l5k1t
loch,lQk
lock,lQk
locket,lQkIt
loco,l5k5
locomotion,l5k@m5S@n
locomotive,l5k@m5tIv
locum,l5k@m
locus,l5k@s
locust,l5k@st
locution,l5kjuS@n
lode,l5d
lodge,lQ_
loft,lQft
log,lQg
logarithm,lQg@rID@m
loggia,l5_@
logic,lQ_Ik
loin,l4n
loiter,l4t@
loll,lQl
lollop,lQl@p
lolly,lQlI
lone,l5n
long,lQN
loo,lu
look,lUk
loom,lum
loon,lun
loop,lup
loose,lus
loot,lut
lop,lQp
lope,l5p
loquacious,l5kw1S@s
loquat,l5kwQt
lord,l$d
lore,l$
lorn,l$n
lorry,lQrI
lose,luz
loss,lQs
lot,lQt
lotion,l5S@n
lotto,lQt5
lotus,l5t@s
loud,l6d
lough,lQk
lounge,l6n_
lour,l6@
louse,l6s
lout,l6t
louvre,luv@
love,lVv
low,l5
loyal,l4@l
lozenge,lQzIn_
lubber,lVb@
lubricate,lubrIk1t
lubricious,lubrIS@s
lucent,lus@nt
lucerne,lus3n
lucid,lusId
luck,lVk
lucre,luk@
ludicrous,ludIkr@s
ludo,lud5
luff,lVf
lug,lVg
luge,luZ
lugubrious,lugubr7s
lull,lVl
lullaby,lVl@b2
lumbago,lVmb1g5
lumbar,lVmb@
lumber,lVmb@
luminary,lumIn@rI
luminous,lumIn@s
lummox,lVm@ks
lump,lVmp
lunar,lun@
lunate,lun1t
lunatic,lun@tIk
luncheon,lVnJ@n
lung,lVN
lunge,lVn_
lupin,lupIn
lurch,l3J
lure,l9
lurgy,l3gI
lurid,l9rId
lurk,l3k
luscious,lVS@s
lush,lVS
lust,lVst
lustre,lVst@
lute,lut
luv,lVv
luxury,lVkS@rI
lyceum,l2s7m
lychee,l2Ji
lye,l2
lymph,lImf
lynch,lInJ
lynx,lINks
lyre,l2@
lyric,lIrIk
ma,m#
maam,m{m
mac,m{k
macadam,m@k{d@m
macaroon,m{k@run
macaw,m@k$
mace,m1s
macerate,m{s@r1t
machine,m@Sin
machismo,m@JIzm5
mackerel,m{kr@l
mackintosh,m{kIntQS
mad,m{d
madam,m{d@m
madder,m{d@
madras,m@dr#s
madrigal,m{drIg@l
maenad,min{d
maffick,m{fIk
mag,m{g
magazine,m{g@zin
magenta,m@_Ent@
maggot,m{g@t
magic,m{_Ik
magistrate,m{_Istr1t
magma,m{gm@
magnate,m{gn1t
magnesia,m{gniS@
magnet,m{gnIt
magneto,m{gnit5
magnificent,m{gnIfIs@nt
magnify,m{gnIf2
magniloquent,m{gnIl5kw@nt
magnitude,m{gnItjud
magnum,m{gn@m
magus,m1g@s
maharajah,m#h@r#_@
maharani,m#h@r#ni
mahatma,m@h#tm@
mahjong,m#_QN
mahogany,m@hQg@nI
mahout,m@h6t
maid,m1d
maiden,m1d@n
mail,m1l
maim,m1m
main,m1n
maintain,m1nt1n
maize,m1z
majesty,m{_@stI
majolica,m@jQlIk@
major,m1_@
make,m1k
malady,m{l@dI
malaria,m@l8r7
male,m1l
maleficent,m@lEfIs@nt
malice,m{lIs
malign,m@l2n
malinger,m@lINg@
mall,m$l
mallard,m{l#d
mallet,m{lIt
mallow,m{l5
malmsey,m#mzI
malt,m$lt
mam,m{m
mama,m#m@
mamba,m{mb@
mambo,m{mb5
mammal,m{m@l
mammary,m{m@rI
mammon,m{m@n
mammoth,m{m@T
man,m{n
manacle,m{n@k@l
manage,m{nI_
manatee,m{n@ti
mandarin,m{nd@rIn
mandate,m{nd1t
mandible,m{ndIb@l
mandolin,m{nd@lin
mandragora,m{ndr{g@r@
mane,m1n
manganese,m{Ng@niz
mange,m1n_
manger,m1n_@
mangle,m{Ng@l
mango,m{Ng5
mangosteen,m{Ng5stin
mangrove,m{Ngr5v
manhattan,m{nh{t@n
mania,m1nj@
manicure,m{nIkj9
manifest,m{nIfEst
manifesto,m{nIfEst5
manioc,m{nIQk
manipulate,m@nIpjUl1t
manna,m{n@
mannequin,m{nIkIn
manner,m{n@
manor,m{n@
mansard,m{ns#d
manse,m{ns
mansion,m{nS@n
mantel,m{nt@l
mantilla,m{ntIl@
mantis,m{ntIs
mantle,m{nt@l
manual,m{nj9l
manufacture,m{njUf{kJ@
manumit,m{njUmIt
manure,m@nj9
many,mEnI
map,m{p
maple,m1p@l
mar,m#
marabou,m{r@bu
maraschino,m{r@skin5
marathon,m{r@T@n
maraud,m@r$d
marble,m#b@l
marc,m#k
marcasite,m#k@s2t
march,m#J
mare,m#r1
margarine,m#_@rin
marge,m#_
margin,m#_In
marguerite,m#g@rit
marijuana,m{rju#n@
marimba,m@rImb@
marina,m@rin@
marinade,m{rIn1d
marinate,m{rIn1t
marine,m@rin
marjoram,m#_@r@m
mark,m#k
market,m#kIt
marl,m#l
marline,m#lIn
marmalade,m#m@l1d
marmoset,m#m5zEt
marmot,m#m@t
maroon,m@run
marque,m#k
marquee,m#ki
marram,m{r@m
marrow,m{r5
marry,m{rI
marsh,m#S
marshal,m#S@l
marsupial,m#supj@l
mart,m#t
marten,m#tIn
martial,m#S@l
martin,m#tIn
martini,m#tinI
martyr,m#t@
marvel,m#v@l
marzipan,m#zIp{n
mascara,m{sk#r@
mascot,m{sk@t
masculine,m{skjUlIn
maser,m1z@
mash,m{S
mashie,m{SI
mask,m#sk
masochism,m{s5kIz@m
mason,m1s@n
masque,m#sk
mass,m{s
massacre,m{s@k@
mast,m#st
master,m#st@
mastic,m{stIk
mastiff,m{stIf
mastodon,m{st@dQn
mastoid,m{st4d
masturbate,m{st@b1t
mat,m{t
match,m{J
matchet,m{JIt
mate,m{t1
material,m@t7r7l
maternal,m@t3n@l
mathematics,m{T@m{tIks
matins,m{tInz
matriculate,m@trIkjUl1t
matrimony,m{trIm@nI
matrix,m1trIks
matron,m1tr@n
matter,m{t@
mattock,m{t@k
mattress,m{trIs
mature,m@tj9
maudlin,m$dlIn
maul,m$l
maunder,m$nd@
maundy,m$ndI
mausoleum,m$s@l7m
mauve,m5v
maverick,m{v@rIk
mavis,m1vIs
maw,m$
maxim,m{ksIm
may,m1
mayday,m1d1
mayhem,m1hEm
mayor,m8
maze,m1z
me,mi
mead,mid
meadow,mEd5
meagre,mig@
meal,mil
mean,min
meander,mI{nd@
measles,miz@lz
measly,mizlI
measure,mEZ@
meat,mit
mecca,mEk@
mechanic,mIk{nIk
medal,mEd@l
meddle,mEd@l
median,midj@n
medic,mEdIk
medico,mEdIk5
medieval,mEdIiv@l
mediocre,midI5k@
meditate,mEdIt1t
medium,midj@m
medlar,mEdl@
medley,mEdlI
meed,mid
meek,mik
meet,mit
megrim,migrIm
meiosis,m25sIs
melancholy,mEl@nk@lI
meld,mEld
melee,m@l1
meliorate,mil7r1t
mellow,mEl5
melody,mEl@dI
melon,mEl@n
melt,mElt
member,mEmb@
membrane,mEmbr1n
memento,mImEnt5
memorandum,mEm@r{nd@m
memory,mEm@rI
memsahib,mEms#hIb
menace,mEn@s
mend,mEn@d
menial,minj@l
meninx,minINks
meniscus,m@nIsk@s
menses,mEnsiz
menstruate,mEnstrU1t
mental,mEnt@l
menthol,mEnTQl
mention,mEnS@n
mentor,mEnt$
menu,mEnju
mercer,m3s@
merchant,m3J@nt
mercury,m3kjUrI
mercy,m3sI
mere,m7
merge,m3_
meridian,m@rId7n
merit,mErIt
merry,mErI
mesa,m1s@
mescal,mEsk{l
mesh,mES
meson,mizQn
mess,mEs
message,mEsI_
messuage,mEswI_
mestizo,mEstiz5
metabolism,mEt{b@lIz@m
metal,mEt@l
metallurgy,mEt{l@_I
metamorphose,mEt@m$f5z
metaphor,mEt@f@
meteor,mitI$
meter,mit@
methanol,mET@nQl
method,mET@d
methuselah,mITjuz@l@
methyl,mETIl
metre,mit@
metronome,mEtr@n5m
metropolis,mItrQp@lIs
mettle,mEt@l
mew,mju
mews,mjuz
mi,mi
miaou,mi6
miaow,mi6
miasma,mI{zm@
mica,m2k@
mick,mIk
mickey,mIkI
mickle,mIk@l
mid,mId
midden,mId@n
middle,mId@l
midge,mI_
midi,mIdI
mien,min
miff,mIf
might,m2t
migrate,m2gr1t
milch,mIlJ
mild,m2ld
mile,m2l
military,mIlIt@rI
militia,mIlIS@
milk,mIlk
mill,mIl
millennium,mIlEn7m
millet,mIlIt
milliard,mIlj#d
million,mIlj@n
milt,mIlt
mime,m2m
mimesis,mImisIs
mimosa,mIm5z@
minaret,mIn@rEt
mince,mIns
mind,m2nd
mine,m2n
mineral,mIn@r@l
mingle,mINg@l
mingy,mIn_I
mini,mInI
miniature,mIn@J@
minim,mInIm
minion,mInj@n
minister,mInIst@
miniver,mInIv@
mink,mINk
minnow,mIn5
minor,m2n@
minster,mInst@
minstrel,mInstr@l
mint,mInt
minuet,mInjUEt
minus,m2n@s
minuscule,mIn@skjul
minute,m2njut
minutiae,m2njuSIi
minx,mINks
miracle,mIr@k@l
mire,m2@
mirror,mIr@
mirth,m3T
misanthrope,mIs@nTr5p
miscellanea,mIs@l1n7
miscellany,mIsEl@nI
mischief,mIsJIf
miscreant,mIskr7nt
miser,m2z@
misery,mIz@rI
misogyny,mIsQ_@nI
miss,mIs
missile,mIs2l
mission,mIS@n
missus,mIsIz
mist,mIst
mistake,mIst1k
mister,mIst@
mistletoe,mIs@lt5
mistral,mIstr@l
mistress,mIstrIs
mite,m2t
mitigate,mItIg1t
mitosis,m2t5sIs
mitre,m2t@
mitt,mIt
mitten,mIt@n
mix,mIks
mizzen,mIz@n
mizzle,mIz@l
mo,m5
moa,m5@
moan,m5n
moat,m5t
mob,mQb
mobile,m5b2l
mocha,mQk@
mock,mQk
modal,m5d@l
mode,m5d
model,mQd@l
moderate,mQd@r1t
modern,mQd@n
modest,mQdIst
modicum,mQdIk@m
modify,mQdIf2
module,mQdjul
moggy,mQgI
mogul,m5g@l
moiety,m4@tI
moil,m4l
moist,m4st
moke,m5k
molar,m5l@
molasses,m5l{sIz
mole,m5l
molecule,mQlIkjul
molest,m5lEst
moll,mQl
mollusc,mQl@sk
molybdenum,m@lIbd@n@m
mom,mQm
moment,m5m@nt
momentum,m5mEnt@m
momma,mQm@
monarch,mQn@k
monastery,mQn@st@rI
money,mVnI
monger,mVNg@
mongol,mQNg@l
mongoose,mQNgus
mongrel,mVNgr@l
monitor,mQnIt@
monk,mVNk
monkey,mVNkI
mono,m5n5
monopoly,m@nQp@lI
monsoon,mQnsun
monster,mQnst@
month,mVnT
monument,mQnjUm@nt
moo,mu
mooch,muJ
mood,mud
moon,mun
moor,m$
moose,mus
moot,mut
mop,mQp
mope,m5p
moped,m5pt
moppet,mQpIt
moral,mQr@l
morass,m@r{s
morbid,m$bId
mordant,m$d@nt
more,m$r
morello,m@rEl5
mores,m$z
moribund,mQrIbVnd
morn,m$n
morning,m$nIN
morocco,m@rQk5
moron,m$rQn
morose,m@r5s
morphia,m$fj@
morrow,mQr5
morsel,m$s@l
mortal,m$t@l
mortar,m$t@
mortgage,m$gI_
mortise,m$tIs
mosaic,m5z1Ik
mosey,m5zI
mosque,mQsk
moss,mQs
most,m5st
mote,m5t
motet,m5tEt
moth,mQT
mother,mVD@
motion,m5S@n
motive,m5tIv
motley,mQtlI
motor,m5t@
mottle,mQt@l
motto,mQt5
moujik,muZIk
mould,m5ld
moult,m5lt
mound,m6nd
mount,m6nt
mountain,m6ntIn
mountebank,m6ntIb{Nk
mourn,m$n
mouse,m6z
mousse,mus
moustache,m@st#S
mouth,m6D
move,muv
movie,muvI
mow,m6
mu,mju
much,mVJ
muck,mVk
muckle,mVk@l
mucus,mjuk@s
mud,mVd
muddle,mVd@l
muesli,mjuzlI
muff,mVf
muffin,mVfIn
muffle,mVf@l
mufti,mVftI
mug,mVg
muggins,mVgInz
mulch,mVlJ
mulct,mVlkt
mule,mjul
mull,mVl
mullein,mVlIn
mullet,mVlIt
mulligatawny,mVlIg@t$nI
mullion,mVl7n
multiple,mVltIp@l
multiplex,mVltIplEks
multiply,mVltIpl2
mum,mVm
mumble,mVmb@l
mummy,mVmI
mumps,mVmps
munch,mVnJ
mundane,mVnd1n
municipal,mjunIsIp@l
mural,mj9r@l
murder,m3d@
murk,m3k
murmur,m3m@
murphy,m3fI
murrain,mVrIn
muscatel,mVsk@tEl
muscle,mVs@l
muse,mjuz
museum,mjuz7m
mush,mVS
mushroom,mVSrUm
music,mjuzIk
musk,mVsk
musket,mVskIt
muslin,mVzlIn
muss,mVs
mussel,mVs@l
must,mVst
mustachio,m@st#SI5
mustang,mVst{N
mustard,mVst@d
muster,mVst@
mutate,mjut1t
mute,mjut
mutilate,mjutIl1t
mutiny,mjutInI
mutt,mVt
mutter,mVt@
mutton,mVt@n
mutual,mjuJ9l
muzzle,mVz@l
muzzy,mVzI
my,m2
myeloid,m2Il4d
mynah,m2n@
myopia,m25pj@
myriad,mIr7d
myrrh,m3
myrtle,m3t@l
mystery,mIst@rI
mystic,mIstIk
myth,mIT
nab,n{b
nabob,n1bQb
nadir,n1d7
nag,n{g
naiad,n2{d
nail,n1l
nainsook,n1nsUk
naked,n1kId
name,n1m
nankeen,n{Nkin
nanny,n{nI
nap,n{p
napalm,n1p#m
nape,n1p
naphtha,n{fT@
napkin,n{pkIn
nappy,n{pI
narcissus,n#sIs@s
nark,n#k
narrate,n@r1t
narrow,n{r5
narwhal,n#w@l
nasal,n1z@l
nasturtium,n@st3S@m
nasty,n#stI
natal,n1t@l
nation,n1S@n
native,n1tIv
natter,n{t@
natty,n{tI
nature,n1J@
naught,n$t
nausea,n$sj@
nautch,n$J
nautilus,n$tIl@s
nave,n1v
navel,n1v@l
navigate,n{vIg1t
navvy,n{vI
navy,n1vI
nay,n1
nazi,n#tsI
neap,nip
near,n7
neat,nit
neath,niT
nebula,nEbjUl@
necessary,nEs@s@rI
neck,nEk
necropolis,nEkrQp@lIs
nectar,nEkt@
need,nid
needle,nid@l
neer,n8
negate,nIg1t
neglect,nIglEkt
negotiate,nIg5SI1t
negro,nigr5
negus,nig@s
neigh,n1
neighbour,n1b@
neither,n2D@
nelly,nElI
nelson,nEls@n
nemesis,nEm@sIs
neon,niQn
nephew,nEvju
nephritis,nIfr2tIs
nepotism,nEp@tIz@m
nerve,n3v
nescient,nEs7nt
ness,nEs
nest,nEst
net,nEt
nether,nED@
nett,nEt
nettle,nEt@l
neuralgia,nj9r{l_@
neuter,njut@
neutral,njutr@l
never,nEv@
new,nju
newel,nju@l
news,njuz
newt,njut
next,nEkst
nexus,nEks@s
niacin,n2@sIn
nib,nIb
nibble,nIb@l
niblick,nIblIk
nibs,nIbz
nice,n2s
nick,nIk
nickel,nIk@l
nicker,nIk@
nicknack,nIkn{k
nicotine,nIk@tin
niece,nis
niff,nIf
nifty,nIftI
niggard,nIg@d
nigger,nIg@
niggle,nIg@l
nigh,n2
night,n2t
nil,nIl
nimble,nImb@l
nimbus,nImb@s
nine,n2n
ninny,nInI
nip,nIp
nipple,nIp@l
nirvana,n7v#n@
nit,nIt
nitre,n2t@
nix,nIks
no,n5
nob,nQb
nobble,nQb@l
noble,n5b@l
nocturne,nQkt3n
nod,nQd
noddle,nQd@l
node,n5d
nodule,nQdjul
noel,n5El
nog,nQg
noggin,nQgIn
noise,n4z
noisome,n4s@m
nomad,n5m{d
nonce,nQns
none,nVn
noodle,nud@l
nook,nUk
noon,nun
noose,nus
nope,n5p
nor,n$
norm,n$m
north,n$T
nose,n5z
nosh,nQS
nostalgia,nQst{l_@
nostril,nQstr@l
nostrum,nQstr@m
not,nQt
notate,n5t1t
notch,nQJ
note,n5t
notice,n5tIs
notion,n5S@n
nougat,nug#
nought,n$t
noun,n6n
nourish,nVrIS
nous,n6s
nova,n5v@
novel,nQv@l
november,n5vEmb@
novice,nQvIs
now,n6
nozzle,nQz@l
nub,nVb
nubile,njub2l
nucleus,njukl7s
nude,njud
nudge,nV_
nugget,nVgIt
nuisance,njus@ns
null,nVl
nullah,nVl@
numb,nVm
number,nVmb@
numismatic,njumIzm{tIk
nun,nVn
nurse,n3s
nurture,n3J@
nut,nVt
nutria,njutr7
nutrient,njutr7nt
nutriment,njutrIm@nt
nylon,n2lQn
nymph,nImf
oaf,5f
oak,5k
oakum,5k@m
oar,$
oasis,51sIs
oast,5st
oat,5t
oath,5T
obeah,5b7
obelisk,Qb@lIsk
obese,5bis
obey,@b1
obi,5bI
obituary,@bIJ9rI
object,@b_Ekt
oblate,Qbl1t
obligate,QblIg1t
oblige,@bl2_
oblique,@blik
obliterate,@blIt@r1t
oblivion,@blIv7n
oblong,QblQN
obloquy,Qbl@kwI
obnoxious,@bnQkS@s
oboe,5b5
obscene,@bsin
obscure,@bskj9
obsequies,QbsIkwIz
observe,@bz3v
obsess,@bsEs
obsidian,QbsId7n
obsolesce,Qbs@lEs
obsolete,Qbs@lit
obstacle,Qbst@k@l
obstetric,QbstEtrIk
obstinate,Qbst@n@t
obstruct,@bstrVkt
obtain,@bt1n
obtrude,@btrud
obtrusive,@btrusIv
obtuse,@btjus
obverse,Qbv3s
obviate,QbvI1t
obvious,Qbv7s
occasion,@k1Z@n
occult,QkVlt
occupy,QkjUp2
occur,@k3
ocean,5S@n
ocelot,5sIlQt
ochre,5k@
octave,QktIv
octavo,Qkt1v5
octet,QktEt
october,Qkt5b@
octopus,Qkt@p@s
octroi,Qktrw#
odalisque,5d@lIsk
odd,Qd
ode,5d
odium,5dj@m
odour,5d@
odyssey,QdIsI
oer,5
oesophagus,IsQf@g@s
oestrogen,istr5_@n
oestrus,istr@s
of,Qv
off,Qf
offend,@fEnd
offer,Qf@
office,QfIs
oft,Qft
often,Qf@n
ogle,5g@l
ogre,5g@
ohm,5m
oil,4l
oink,4Nk
ointment,4ntm@nt
okay,5k1
okra,5kr@
old,5ld
oleander,5lI{nd@
oligarch,QlIg#k
olive,QlIv
omega,5mIg@
omelet,QmlIt
omen,5mEn
omit,@mIt
omnibus,QmnIb@s
on,Qn
once,wVns
one,wVn
onion,Vnj@n
only,5nlI
onomatopoeia,Qn5m{t5pi@
onslaught,Qnsl$t
onus,5n@s
onyx,QnIks
oof,uf
oomph,Umf
ooze,uz
opal,5p@l
opalesce,5p@lEs
opaque,5p1k
open,5p@n
opera,Qp@r@
operate,Qp@r1t
ophthalmia,QfT{lm7
opine,5p2n
opium,5pj@m
opossum,@pQs@m
opportune,Qp@tjun
oppose,@p5z
oppress,@prEs
opprobrium,@pr5br7m
oppugn,@pjun
optic,QptIk
optimism,QptImIz@m
optimum,QptIm@m
opulent,QpjUl@nt
opus,5p@s
or,$
oracle,Qr@k@l
oral,$r@l
orange,QrIn_
orangutan,$r{N@t{n
orate,$r1t
orb,$b
orbit,$bIt
orchard,$J@d
orchestra,$kIstr@
orchid,$kId
orchis,$kIs
ordain,$d1n
ordeal,$dil
order,$d@
ordinance,$dIn@ns
ordinand,$dIn{nd
ordinary,$d@nrI
ordinate,$d@n@t
ordnance,$dn@ns
ordure,$dj9
ore,$
oregano,QrIg#n5
organ,$g@n
organdie,$g@ndI
organize,$g@n2z
orgasm,$g{z@m
orgy,$_I
oriel,$r7l
orient,$r7nt
orifice,QrIfIs
origin,QrI_In
oriole,$rI5l
orison,QrIz@n
orlop,$lQp
ormolu,$m5lu
ornament,$n@mEnt
ornate,$n1t
ornery,$n@rI
orotund,Qr5tVnd
orphan,$f@n
orrery,Qr@rI
orris,QrIs
orthodox,$T@dQks
ortolan,$t@l@n
oryx,QrIks
osier,5z7
osmosis,Qzm5sIs
osprey,QsprI
ostler,Qsl@
ostrich,QstrIJ
other,VD@
otiose,5tI5s
otter,Qt@
ottoman,Qt5m@n
ought,$t
ounce,6ns
our,6@
oust,6st
out,6t
outre,utr1
ouzel,uz@l
ouzo,uz5
oval,5v@l
ovary,5v@rI
ovation,5v1S@n
oven,Vv@n
over,5v@
overt,5v3t
overture,5v@tj9
ovulate,Qvjul1t
ovum,5v@m
owe,5
owl,6l
own,5n
ox,Qks
oxide,Qks2d
oyster,4st@
ozone,5z5n
pa,p#
pabulum,p{bjUl@m
pace,p1sI
pachyderm,p{kId3m
pack,p{k
pact,p{kt
pad,p{d
paddle,p{d@l
paddock,p{d@k
paddy,p{dI
padre,p#drI
paean,pi@n
pagan,p1g@n
page,p1_
pageant,p{_@nt
pagoda,p@g5d@
pail,p1l
pain,p1n
paint,p1nt
pair,p8
paisley,p1zlI
pal,p{l
palace,p{lIs
paladin,p{l@dIn
palais,p{l1
palanquin,p{l@nkin
palate,p{l@t
palatine,p{l@t2n
palaver,p@l#v@
pale,p1l
palfrey,p$lfrI
palimpsest,p{lImpsEst
palindrome,p{lIndr5m
palisade,p{lIs1d
pall,p$l
pallet,p{lIt
palliasse,p{lI{s
pallor,p{l@
palm,p#m
palmetto,p{lmEt5
palomino,p{l@min5
palpate,p{lp1t
palpitate,p{lpIt1t
palsy,p$lzI
paltry,p$ltrI
pampas,p{mp@s
pamper,p{mp@
pamphlet,p{mflIt
pan,p{n
panacea,p{n@s7
panama,p{n@m#
pancreas,p{Nkr7s
panda,p{nd@
pandemonium,p{ndIm5nj@m
pander,p{nd@
pandit,p{ndIt
pane,p1n
panel,p{n@l
pang,p{N
panga,p{Ng@
panic,p{nIk
panjandrum,p{n_{ndr@m
pannier,p{n7
panoply,p{n@plI
panorama,p{n@r#m@
pansy,p{nzI
pant,p{nt
pantaloon,p{nt@lun
pantheon,p{nT7n
panther,p{nT@
pantry,p{ntrI
pap,p{p
papa,p@p#
papadum,p{p@d@m
papal,p1p@l
papaw,p@p$
papaya,p@p2@
paper,p1p@
papoose,p@pus
pappy,p{pI
paprika,p{prIk@
papyrus,p@p2@r@s
par,p{r@gr#f
parable,p{r@b@l
parabola,p@r{b@l@
parachute,p{r@Sut
parade,p@r1d
paradigm,p{r@d2m
paradise,p{r@d2s
paradox,p{r@dQks
paraffin,p{r@fIn
paragon,p{r@g@n
parakeet,p{r@kit
parallel,p{r@lEl
paralyse,p{r@l2z
paralysis,p@r{lIsIs
paramount,p{r@m6nt
paramour,p{r@m9
paranoia,p{r@n4@
parapet,p{r@pIt
paraphernalia,p{r@f@n1lj@
paraphrase,p{r@fr1z
paraplegia,p{r@pli_@
paraquat,p{r@kwQt
parasite,p{r@s2t
parasol,p{r@sQl
parathyroid,p{r@T2r4d
parboil,p#b4l
parcel,p#s@l
parch,p#J
pardner,p#dn@
pardon,p#d@n
pare,p8
paregoric,p{r@gQrIk
parent,p8r@nt
parenthesis,p@rEnTIsIs
parhelion,p#hilj@n
pariah,p@r2@
parish,p{rIS
park,p#k
parkin,p#kIn
parlance,p#l@ns
parley,p#lI
parliament,p#l@m@nt
parlour,p#l@
parlous,p#l@s
parody,p{r@dI
parole,p@r5l
paroquet,p{r@kit
paroxysm,p{r@ksIz@m
parquet,p#k1
parr,p#
parrot,p{r@t
parry,p{rI
parse,p#z
parsimony,p#sIm@nI
parsley,p#slI
parsnip,p#snIp
parson,p#s@n
part,p#t
participate,p#tIsIp1t
participle,p#tIsIp@l
particle,p#tIk@l
partita,p#tit@
partner,p#tn@
partridge,p#trI_
party,p#tI
paschal,p{sk@l
pasha,p#S@
pass,p#s
passenger,p{sIn_@
passim,p{sIm
passion,p{S@n
past,p#st
paste,p1st
pastel,p{stEl
pastern,p{st3n
pastor,p#st@
pastrami,p@str#mI
pastry,p1strI
pasture,p#sJ@
pat,p{t
patch,p{J
patchouli,p{JUlI
pate,p1t
patella,p@tEl@
patent,p1t@nt
pater,p1t@
path,p#T
pathos,p1TQs
patient,p1S@nt
patriarch,p1trI#k
patrimony,p{trIm@nI
patriot,p{tr7t
patrol,p@tr5l
patron,p1tr@n
patten,p{t@n
pattern,p{t@n
patty,p{tI
paucity,p$s@tI
paunch,p$nJ
pauper,p$p@
pause,p$z
pavane,p{v@n
pave,p1v
pavilion,p@vIlj@n
paw,p$
pawky,p$kI
pawl,p$l
pawn,p$n
pawpaw,p$p$
pax,p{ks
pay,p1
paynim,p1nIm
pea,pi
peace,pis
peach,piJ
peak,pik
peal,pil
pear,p8
pearl,p3l
pearmain,p3m1n
peasant,pEz@nt
peat,pit
pebble,pEb@l
pecan,pIk{n
peccary,pEk@rI
peck,pEk
pectic,pEktIk
pectin,pEktIn
peculiar,pIkjulj@
pedal,pid@l
pedant,pEd@nt
peddle,pEd@l
pederast,pEd@r{st
pedestal,pEdIst@l
pedicel,pEdIsEl
pedicle,pEdIk@l
pedigree,pEdIgri
pediment,pEdIm@nt
pee,pi
peek,pik
peel,pil
peep,pip
peer,p7
peeve,piv
peg,pEg
pejorative,pI_Qr@tIv
pekoe,pik5
pelagic,pEl{_Ik
pelf,pElf
pelican,pElIk@n
pelisse,pElis
pellet,pElIt
pellucid,pElusId
pelmet,pElmIt
pelota,p@lQt@
pelt,pElt
pelvis,pElvIs
pemmican,pEmIk@n
pen,pEn
penal,pin@l
penance,pEn@ns
pencil,pEns@l
pendant,pEnd@nt
pendent,pEnd@nt
pendulum,pEndjUl@m
penetrate,pEnItr1t
penguin,pENgwIn
penicillin,pEnIsIlIn
peninsula,p@nInsjUl@
penis,pinIs
penitent,pEnIt@nt
pennant,pEn@nt
pennon,pEn@n
penny,pEnI
pension,pEnS@n
pentathlon,pEnt{TlQn
pentecost,pEntIkQst
penumbra,pInVmbr@
penury,pEnjUrI
peon,pjun
peony,p7nI
people,pip@l
pep,pEp
pepper,pEp@
pepsin,pEpsIn
